TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
201401,24.443,1.0,22.944,0.942,1.0,25.659,1.682,1.0,24.587,23.043,0.936,25.836,2.005,24.443,1.0,22.944,0.942,1.0,25.659,1.682,1.0,481.476,215.577,0.998656,227.214,215.812,0.998656,407.708,1.0,409.339,407.708,1.0,455.768,0.998656,457.487,455.753,0.998656,4.858,1.0,5.461,4.858,1.0,92.465,92.493,0.995296,7.41,9.716,0.995296,1.611,1.775,0.991263,0.375744738542,0.938172043011,166.799216426,0.995295698925,24.642358728,0.995295698925,431.335506749,0.995295698925,383.956,1.0,-9999,-9999,-9999,-9999,-2.25614,0.208333,104.824,0.995968,120.652,2.41194,25.0465,0.997984,28.8287,0.746774,1.0,2,21.4839,26.5161,21.4839,26.5161,-1.73193,0.976478,0.157391,0.296334,-1.5825,0.988575,0.161083,0.298311,-1.87719,0.984089,0.0395881,-2.20699,-2.12279,-2.07993,-1.96462,-1.73193,-1.62063,-1.42415,0.989919,0.977151,0.988575,0.989247,0.976478,0.976478,0.977151,4.23126,2.96062,0.977936,0.244774,0.607727,-6.44656,7.07045,0.975554,0.177779,0.19208,4.45979,3.30191,0.998464,0.262584,0.615116,-6.36349,7.14784,0.980471,0.183564,0.197447,3.31842,3.34728,3.57368,3.80098,4.23126,4.45979,4.82278,1.0,0.986524,0.998464,0.998464,0.977936,0.998464,0.977936,-6.53946,-6.53009,-6.52523,-6.44656,-6.43604,-6.38463,-6.36349,0.981665,0.980471,0.980471,0.975554,0.9756,0.976748,0.980471,4.89412,5.46614,5.18554,0.0737613,4.30304,4.8317,4.89412,5.22155,5.60309,5.66347,5.77956,6.96352,7.04864,7.06552,0.047517,6.47477,6.79632,6.96352,7.01672,7.1372,7.43713,7.51293,5.30836,5.30836,4.88654,0.0519082,4.24015,4.58518,4.75779,4.85484,5.09187,5.30836,5.32877,6.47707,6.5958,6.40386,0.0227273,6.12438,6.23596,6.35541,6.40486,6.48356,6.56941,6.607,-9999,-9999
201402,24.241,1.0,23.22,0.621,1.0,25.104,1.254,1.0,23.514,22.516,0.618,24.359,1.353,24.241,1.0,23.22,0.621,1.0,25.104,1.254,1.0,465.595,167.522,1.0,182.704,167.522,1.0,413.605,1.0,414.367,413.605,1.0,468.179,1.0,463.402,468.179,1.0,3.717,1.0,3.322,3.717,1.0,92.42,92.435,0.995536,22.141,15.417,0.8125,1.33,1.525,0.977679,0.340131074531,0.893601190476,133.804552938,0.997023809524,19.0859137538,0.997023809524,428.216897796,0.997023809524,382.962,0.999256,22.144,1.0,33.128,1.0,-2.60314,1.0,107.633,0.998512,123.886,2.4495,10.3681,0.999256,11.9337,0.645505,0.988839,1,22.0,26.0,22.0,26.0,-1.39735,0.986607,0.185769,0.220821,-1.55766,0.982887,0.192216,0.226272,-1.44026,0.986644,0.016522,-1.62999,-1.55798,-1.55766,-1.44785,-1.36751,-1.31921,-1.31043,0.993304,0.99256,0.982887,0.985119,0.988839,0.984375,0.985863,4.52329,2.56333,0.983766,0.28701,0.431002,-6.31334,7.67541,0.989011,0.21634,0.287641,4.09532,2.94988,0.977273,0.305499,0.443528,-6.23641,7.62273,0.987637,0.223863,0.293341,3.93044,4.02462,4.05072,4.18165,4.60133,4.6677,4.78945,0.977273,0.977273,0.977273,1.0,0.978896,0.998377,0.988636,-6.63438,-6.38245,-6.34765,-6.24037,-6.08535,-6.00332,-5.98437,0.968407,0.980769,0.990385,0.989011,0.993132,0.991758,0.994505,5.01736,4.98683,5.14914,0.0458259,4.66091,4.92901,4.98683,5.05901,5.36272,5.38887,5.42584,6.58741,6.54449,6.58539,0.0367699,6.08748,6.37217,6.42977,6.58316,6.73627,6.75638,6.76008,6.51148,6.51148,7.79125,0.175711,6.51148,6.71692,6.8712,7.02333,8.98043,9.09416,9.44168,7.85294,6.96307,7.64793,0.0671918,6.96307,7.24474,7.30316,7.47379,8.02027,8.12854,8.36056,-9999,-9999
201403,23.457,0.945565,22.332,0.709,1.0,24.461,1.294,0.899504,22.963,21.832,0.655,23.971,1.561,23.431,0.945565,22.332,0.709,1.0,24.413,1.321,0.899504,429.408,165.358,0.948925,197.109,167.804,0.948925,401.96,0.945565,400.556,401.602,0.945565,456.537,0.945565,447.155,455.968,0.945565,3.598,0.945565,3.505,3.593,0.945565,92.758,92.779,0.905914,11.825,9.25,0.906586,1.662,1.674,0.890457,0.342837042782,0.836693548387,123.627548248,0.889784946237,18.9526832696,0.889784946237,423.299811358,0.889784946237,375.244,0.944892,21.298,0.944892,32.702,0.944892,-5.26841,0.944892,83.0411,0.94422,107.691,1.78176,15.5868,0.944892,20.2136,0.624214,0.901882,1,22.5806,25.4194,22.5806,25.4194,-2.12852,0.942204,0.155367,0.203358,-2.3678,0.942204,0.158774,0.205973,-2.1821,0.941566,0.0187296,-2.41517,-2.35074,-2.26735,-2.15824,-2.12852,-2.08832,-2.04017,0.942204,0.94086,0.939516,0.942204,0.942204,0.942204,0.942204,4.43725,2.46568,1.0,0.24353,0.487383,-7.8287,7.5814,0.893251,0.186197,0.323755,3.91315,2.64849,1.0,0.246015,0.48863,-7.78819,7.50415,0.893251,0.18898,0.325363,3.68549,3.71347,3.7276,4.11298,4.44655,4.55783,4.57986,1.0,0.995792,0.99439,0.998597,1.0,1.0,1.0,-8.01732,-7.86225,-7.86215,-7.78819,-7.43492,-7.33255,-7.21079,0.89072,0.89201,0.893251,0.893251,0.893251,0.894541,0.894541,5.15958,4.95653,5.15961,0.0684404,4.41465,4.75225,4.77108,5.15958,5.43418,5.54993,5.55969,7.03843,7.32433,7.34097,0.0583832,6.57373,6.91898,7.03843,7.42182,7.5627,7.62929,7.75671,4.47898,4.47898,4.74593,0.146833,3.93846,4.154,4.17125,4.47898,5.07814,5.23475,5.95587,6.55775,6.45916,6.64484,0.0713115,6.02657,6.03918,6.52837,6.59529,6.74785,6.86913,7.17774,-9999,-9999
201404,23.166,1.0,22.125,0.57,1.0,24.196,1.144,1.0,22.581,21.577,0.587,23.572,1.352,23.166,1.0,22.125,0.57,1.0,24.196,1.144,1.0,376.641,152.647,1.0,174.607,152.647,1.0,398.029,1.0,397.927,398.029,1.0,436.693,1.0,444.062,436.693,1.0,3.525,1.0,3.349,3.525,1.0,92.789,92.799,0.961111,17.824,19.9,0.996528,1.729,1.69,0.988889,0.34746109969,0.8625,111.542907801,0.996527777778,17.7477689125,0.996527777778,420.850221631,0.996527777778,398.58,0.997917,21.085,1.0,31.919,1.0,-6.88098,1.0,69.2518,0.997222,99.5083,1.38746,13.1271,0.997222,18.8624,0.582196,0.988889,1,23.8,24.2,23.8,24.2,-0.471706,0.991667,0.137463,0.194253,-0.535328,0.99375,0.13567,0.192989,-0.625443,0.990625,0.0256896,-0.980937,-0.78298,-0.635489,-0.586772,-0.535328,-0.508475,-0.471706,0.963194,0.995139,0.990278,0.991667,0.99375,0.993056,0.991667,4.74972,2.64477,0.997333,0.210049,0.349402,-5.5578,6.91782,0.98644,0.166242,0.205931,4.61491,2.78059,1.0,0.201689,0.344441,-5.54632,6.90284,0.987773,0.167033,0.206569,3.88578,4.09604,4.45773,4.57592,4.65354,4.65448,4.71484,1.0,1.0,1.0,0.997333,0.997333,1.0,1.0,-5.79109,-5.71031,-5.68861,-5.54632,-5.4919,-5.46724,-5.46503,0.978268,0.983717,0.981051,0.987773,0.987773,0.990495,0.989162,4.78374,4.67541,4.46735,0.0516285,4.0275,4.05571,4.07161,4.62402,4.78374,4.78451,4.85043,5.30924,5.21074,5.08992,0.0385889,4.65379,4.65657,4.93527,5.15355,5.30924,5.32483,5.35891,5.9259,5.9259,5.81515,0.108638,4.52504,5.0551,5.39277,5.79089,6.14048,6.71774,7.06313,5.65384,5.81063,5.87073,0.0486594,5.18639,5.65384,5.7241,5.89191,6.07721,6.18139,6.23996,-9999,-9999
201405,20.674,1.0,19.515,0.862,1.0,21.933,1.403,1.0,20.531,19.353,0.836,21.811,1.668,20.674,1.0,19.515,0.862,1.0,21.933,1.403,1.0,326.169,147.745,1.0,171.549,147.745,1.0,382.407,1.0,372.621,382.407,1.0,422.568,1.0,414.291,422.568,1.0,3.181,1.0,3.452,3.181,1.0,93.09,93.095,0.997312,3.022,6.032,0.997312,1.769,1.596,0.995968,0.339652306929,0.978494623656,105.78478895,0.997311827957,17.6419583619,0.997311827957,406.227679593,0.997311827957,404.255,0.999328,18.738,1.0,31.265,1.0,-11.2522,1.0,91.0625,1.0,107.186,2.17503,8.19225,0.999328,9.64279,0.646948,0.992608,1,25.0,23.0,25.0,23.0,-2.64804,0.985887,0.138053,0.264399,-2.75258,0.990591,0.144823,0.267997,-2.65601,0.988928,0.0253757,-2.9391,-2.83215,-2.75228,-2.68103,-2.60335,-2.38116,-2.35911,0.993952,0.975134,0.990591,0.984543,0.994624,0.994624,0.995296,1.55162,2.13035,0.988387,0.185903,0.307908,-7.01198,6.40232,0.98317,0.185953,0.240199,1.35204,2.37092,0.996129,0.204077,0.31921,-7.00529,6.37646,0.984572,0.18874,0.242363,0.978228,1.25556,1.35204,1.4139,1.52082,1.74646,1.78316,1.0,0.969032,0.996129,0.985806,0.988387,1.0,1.0,-7.06598,-7.02035,-7.00701,-6.97847,-6.77051,-6.71626,-6.66776,0.981767,0.984572,0.98317,0.98317,0.98878,0.98878,0.990182,2.00152,2.10396,1.9349,0.0614127,1.30941,1.40499,1.50839,2.07554,2.18044,2.38037,2.49319,4.78378,4.85654,4.59055,0.0476723,3.99044,4.1318,4.34409,4.69182,4.82782,4.85231,4.85654,4.94299,4.94299,4.91869,0.0685979,3.93563,4.61541,4.64081,4.94299,5.10979,5.16173,5.77847,5.68911,5.82496,5.7939,0.0299982,5.34727,5.67872,5.68911,5.79869,5.848,5.8771,6.15749,-9999,-9999
