TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
200401,-9.592,1,-11.596,3.51,1,-7.216,4.416,1,-9.916,-12.169,2.608,-7.246,4.04,-9.592,1,-11.596,3.51,1,-7.216,4.416,1,245.491,162.128,0.998656,168.026,162.211,0.998656,180.98,1,167.686,180.98,1,173.178,0.998656,174.69,173.18,0.998656,1.909,1,2.673,1.909,1,59.747,59.747,0,0.245,0.019,1,2.755,2.002,0.989919,-9999,-9999,-5.96538885,0.998655914,-9999,-9999,-5.549,1,5.2,1,0,1,8.10555,0.811156,8.10555,0.250525,12.0183,0.810484,12.0183,0.450273,-9999,-9999,26.0323,21.9677,26.0323,21.9677,0.0779159,0.622984,0.00550527,0.0117563,0.079999,0.623656,0.00553152,0.0117687,0.0726531,0.61838,0.00135606,0.0538503,0.0584013,0.065053,0.077479,0.0783459,0.0791766,0.0803706,0.591398,0.592742,0.627688,0.616935,0.625672,0.635081,0.635081,0.194338,0.0775843,0.782878,0.0072145,0.0224529,-0.0660234,0.316505,0.434018,0.00782813,0.00887399,0.196016,0.0781743,0.782878,0.00724645,0.0224632,-0.0636268,0.320425,0.435484,0.0078686,0.00890971,0.14515,0.152717,0.172148,0.191353,0.194083,0.195241,0.196952,0.753102,0.756824,0.792804,0.792804,0.782878,0.80273,0.80273,-0.0670975,-0.0668633,-0.0654811,-0.063891,-0.0629637,-0.0585043,-0.0579017,0.432551,0.432551,0.432551,0.435484,0.43695,0.400293,0.398827,0.148153,0.130763,0.136775,0.00284969,0.113425,0.116401,0.120631,0.1307,0.153783,0.158566,0.162323,0.0518531,0.0507642,0.0640648,0.00212805,0.0425304,0.0482784,0.0518531,0.0609315,0.0781954,0.0802737,0.0817482,0.108455,0.12775,0.115608,0.00282862,0.0776395,0.0822467,0.108302,0.127412,0.12775,0.12775,0.12775,0.0972392,0.0949235,0.0919663,0.00106896,0.0751907,0.0818826,0.0933995,0.0949235,0.0949235,0.0960736,0.0972392,-9999,-9999
200402,-6.673,1,-9.184,3.506,1,-3.926,4.423,1,-6.821,-9.571,2.969,-3.809,4.104,-6.673,1,-9.184,3.506,1,-3.926,4.423,1,300.931,217.896,1,212.848,217.896,1,164.736,1,170.549,164.736,1,170.626,1,177.601,170.626,1,3.038,1,3.931,3.038,1,59.838,59.838,0,0.129,0.097,1,3.011,2.812,0.999282,0.173810699,0.778735632,20.24067061,0.996408046,-9999,-9999,-3.487,1,6.6,1,0,1,13.132,0.989943,13.132,0.343458,32.4969,0.991379,32.4969,0.666551,-9999,-9999,25.069,22.931,25.069,22.931,0.0041496,0.921695,0.00608107,0.0120075,0.0042548,0.921695,0.00609243,0.0120132,-0.00302179,0.918085,0.00151686,-0.0258075,-0.0165533,-0.00398199,-0.000497289,0.00275223,0.00415415,0.0061926,0.900144,0.914511,0.928161,0.921695,0.927443,0.921695,0.917385,0.234287,0.115088,0.982069,0.00765692,0.019736,-0.244917,0.369491,0.851892,0.00896622,0.00903463,0.23443,0.115237,0.982069,0.00766968,0.019741,-0.244872,0.369537,0.851892,0.00898455,0.00905282,0.18187,0.197907,0.222554,0.226158,0.232302,0.234287,0.238401,0.940637,0.965517,0.982069,0.982069,0.991724,0.982069,0.972414,-0.250932,-0.247208,-0.24654,-0.245478,-0.245081,-0.244989,-0.244686,0.857889,0.853323,0.854891,0.853391,0.851892,0.851892,0.850325,0.241631,0.236765,0.238612,0.00061913,0.231534,0.23425,0.236458,0.239127,0.241125,0.241631,0.243396,0.233744,0.232511,0.241632,0.00137558,0.227551,0.23135,0.234524,0.24169,0.24436,0.248087,0.258984,0.308056,0.287162,0.278843,0.00597847,0.187709,0.231686,0.260208,0.291115,0.293636,0.295801,0.315731,0.333335,0.293366,0.296403,0.00323733,0.256101,0.270359,0.291886,0.293391,0.304571,0.310823,0.333335,-9999,-9999
200403,0.922,1,-2.152,3.725,1,3.822,4.737,1,0.761,-1.916,2.087,3.279,3.803,0.922,1,-2.152,3.725,1,3.822,4.737,1,370.458,249.608,1,261.934,249.608,1,190.045,1,195.284,190.045,1,195.38,1,202.763,195.38,1,6.094,1,6.45,6.094,1,60.123,60.123,0,0.099,0,1,3.122,3.64,0.99328,0.224928405,0.621639785,39.50446664,0.997311828,-9999,-9999,3.083,1,9.6,1,0,1,14.2364,0.969086,14.2364,0.1786,47.91,0.965726,47.91,0.630625,-9999,-9999,23.2258,24.7742,23.2258,24.7742,-0.131331,0.946909,0.00691881,0.00957343,-0.13018,0.951613,0.00695683,0.00960094,-0.126595,0.948421,0.000955196,-0.132089,-0.13114,-0.130977,-0.129376,-0.123482,-0.117907,-0.116254,0.938172,0.964382,0.958333,0.966398,0.932124,0.931452,0.931452,0.342948,0.148163,0.943942,0.00883428,0.0152399,-0.563923,0.596561,0.949446,0.00991352,0.00999682,0.342168,0.147855,0.949318,0.00883958,0.015243,-0.560983,0.593674,0.953478,0.0100017,0.0100843,0.340447,0.341787,0.342133,0.343891,0.356176,0.366624,0.371054,0.960729,0.973352,0.932891,0.943942,0.916119,0.913569,0.914914,-0.565492,-0.562991,-0.562228,-0.561464,-0.560521,-0.560416,-0.560161,0.946865,0.954719,0.956009,0.946816,0.954719,0.948056,0.948056,0.402193,0.396494,0.397852,0.000350234,0.394484,0.395441,0.39634,0.398107,0.398843,0.399573,0.401917,0.526674,0.526674,0.524395,0.00108506,0.507847,0.514696,0.519366,0.527215,0.529165,0.529697,0.530729,0.293567,0.325379,0.317636,0.00358213,0.278921,0.287046,0.29352,0.322093,0.330335,0.332839,0.342375,0.478411,0.499463,0.492761,0.00186111,0.47304,0.477468,0.47843,0.49629,0.500004,0.502587,0.506622,-9999,-9999
200404,2.187,1,-0.737,2.63,1,4.582,3.95,1,1.175,-1.127,2.111,3.063,3.424,2.187,1,-0.737,2.63,1,4.582,3.95,1,430.088,251.293,1,292.71,251.293,1,235.955,1,228.122,235.955,1,239.261,1,236.166,239.261,1,4.416,1,4.161,4.416,1,60.161,60.161,0,1.398,0.297,1,2.167,3.048,0.999306,-9999,-9999,73.60840918,0.996527778,-9999,-9999,7.781,1,10.1,1,0,1,22.7466,0.770139,22.7466,0.267396,55.0429,0.774306,55.0429,0.608497,-9999,-9999,21.5667,26.4333,21.5667,26.4333,-0.219454,0.774306,0.00744939,0.00837374,-0.218352,0.774306,0.00744144,0.00836667,-0.216545,0.774462,0.000665347,-0.223619,-0.221033,-0.219266,-0.217225,-0.213895,-0.213384,-0.208285,0.78125,0.774306,0.773611,0.775694,0.774306,0.775694,0.778472,0.277601,0.0928912,0.870491,0.0100508,0.0121065,-0.611448,0.555769,0.697958,0.010133,0.0110703,0.278615,0.092611,0.870491,0.0100405,0.0120979,-0.61035,0.554878,0.697958,0.010122,0.0110602,0.271525,0.273927,0.278615,0.282772,0.284518,0.287424,0.293909,0.882973,0.870491,0.870491,0.87987,0.876696,0.868975,0.876696,-0.619589,-0.614798,-0.613767,-0.61035,-0.607345,-0.605882,-0.602453,0.697863,0.68547,0.701709,0.697958,0.700522,0.700522,0.69924,0.286941,0.295592,0.288442,0.000822708,0.281917,0.283315,0.284372,0.286941,0.291372,0.295173,0.296502,0.513944,0.513944,0.504974,0.000895601,0.495737,0.499778,0.50068,0.503957,0.508313,0.509221,0.513944,0.178243,0.132294,0.137348,0.00490383,0.102055,0.11332,0.114103,0.124995,0.154134,0.174779,0.191764,0.483384,0.455338,0.463495,0.00269852,0.446413,0.450043,0.452542,0.456375,0.472998,0.483384,0.49229,-9999,-9999
200405,7.362,1,4.709,2.668,1,9.256,3.708,1,6.36,4.18,2.038,7.916,3.304,7.362,1,4.709,2.668,1,9.256,3.708,1,466.527,284.159,1,278.83,284.159,1,255.447,1,263.438,255.447,1,266.116,1,272.09,266.116,1,6.571,1,5.12,6.571,1,60.194,60.194,0,2.137,1.784,1,2.647,3.508,0.989919,0.193239504,0.99327957,101.6692161,0.999327957,-9999,-9999,12.16,1,11.6,1,0,1,74.3363,0.997984,74.3363,0.961557,54.724,0.997984,54.724,0.658732,-9999,-9999,19.9032,28.0968,19.9032,28.0968,-0.329001,0.988575,0.0111235,0.0142862,-0.326545,0.988575,0.0111188,0.0142826,-0.331836,0.984829,0.00146976,-0.35399,-0.342805,-0.332744,-0.329034,-0.325278,-0.324875,-0.322385,0.97379,0.980511,0.980511,0.987903,0.989247,0.987231,0.987231,0.372746,0.175626,1,0.0130425,0.0195436,-0.805404,0.845585,0.980653,0.0158108,0.0174054,0.374692,0.175491,1,0.0130306,0.0195357,-0.802732,0.845505,0.980653,0.0158068,0.0174018,0.340262,0.350203,0.363223,0.373517,0.376264,0.379313,0.380489,0.996774,1,1,1,1,1,1,-0.823626,-0.81526,-0.809007,-0.805559,-0.80339,-0.800704,-0.799163,0.957771,0.961227,0.966868,0.979501,0.981885,0.978349,0.984109,0.436649,0.438866,0.439667,0.000848069,0.432798,0.434301,0.436055,0.438536,0.441505,0.446567,0.448273,0.765412,0.765412,0.771503,0.00184688,0.756966,0.762064,0.763462,0.767538,0.778988,0.786944,0.793084,0.192105,0.185938,0.218502,0.00579383,0.177873,0.185047,0.190942,0.212935,0.219789,0.276624,0.293553,0.616966,0.59574,0.631787,0.00489932,0.59574,0.601395,0.610585,0.627247,0.631883,0.655615,0.700215,-9999,-9999
200406,8.649,1,7.139,1.803,1,9.662,3.017,1,9.132,7.593,1.574,10.164,2.629,8.649,1,7.139,1.803,1,9.662,3.017,1,479.48,252.616,1,234.227,252.616,1,302.829,1,300.302,302.829,1,307.29,1,309.588,307.29,1,3.689,1,3.376,3.689,1,60.295,60.295,0,3.962,5.917,1,2.274,2.536,0.997222,-9999,-9999,144.0902023,0.999305556,-9999,-9999,12.344,1,21.3,1,0,1,144.329,0.964583,144.329,1.34851,19.9044,0.965972,19.9044,0.290945,-9999,-9999,19.1667,28.8333,19.1667,28.0667,-1.13223,0.882639,0.0191694,0.0533693,-1.13151,0.882639,0.0190317,0.05332,-1.11471,0.887118,0.00728142,-1.17927,-1.16054,-1.15196,-1.13234,-1.0812,-1.06092,-1.03426,0.858333,0.881944,0.859722,0.882639,0.903472,0.908333,0.909722,0.451985,0.293759,0.947368,0.0223827,0.0985275,-2.12348,1.74045,0.840189,0.0270701,0.0354109,0.453332,0.292694,0.947368,0.0220182,0.0984453,-2.12321,1.74087,0.840189,0.0269538,0.0353221,0.365419,0.403606,0.43875,0.453098,0.5501,0.595509,0.658482,0.926316,0.947368,0.947368,0.947368,0.989474,0.989474,0.987719,-2.15188,-2.14879,-2.14665,-2.12321,-2.1061,-2.10314,-2.08865,0.820608,0.835591,0.839039,0.840189,0.847085,0.85858,0.811412,0.762264,0.759321,0.763613,0.0068007,0.702759,0.719417,0.72798,0.759943,0.770377,0.818513,0.84571,1.89083,1.89083,1.87833,0.005257,1.77186,1.85195,1.85882,1.88418,1.8997,1.90725,1.91116,1.71256,1.18557,1.61463,0.0494796,1.0754,1.20929,1.32214,1.63417,1.77364,1.83247,2.08759,2.58227,2.23341,2.53746,0.0288899,2.23341,2.27977,2.4161,2.55255,2.64573,2.68723,2.84845,-9999,-9999
200407,9.779,1,8.445,1.156,1,10.732,2.32,1,10.433,9.374,1.018,11.189,1.889,9.779,1,8.445,1.156,1,10.732,2.32,1,471.087,208.598,1,170.139,208.598,1,324.173,1,317.341,324.173,1,327.621,1,326.92,327.621,1,3.165,1,2.642,3.165,1,60.339,60.339,0,5.436,5.155,1,1.805,2.431,0.992608,0.168853808,0.989919355,123.9566284,1,-9999,-9999,13.327,1,24.7,1,0,1,106.275,0.997984,106.275,1.00492,14.7673,0.997984,14.7673,0.209588,-9999,-9999,20,28,20,28,-1.47581,0.995296,0.0245909,0.0276669,-1.47587,0.995296,0.0245493,0.0276299,-1.46447,0.995346,0.0021151,-1.48058,-1.47725,-1.47646,-1.465,-1.45465,-1.4519,-1.4465,0.995296,0.995296,0.995296,0.992608,0.995968,0.995968,0.99664,0.976411,0.314358,1,0.0273364,0.0420377,-3.13542,2.44112,0.991935,0.0356229,0.036852,0.976291,0.314023,1,0.0271824,0.0419377,-3.13544,2.44107,0.991935,0.0356047,0.0368344,0.96415,0.969196,0.976304,0.986069,1.02074,1.03307,1.05974,1,1,1,1,1,1,1,-3.15325,-3.14471,-3.14249,-3.13314,-3.12845,-3.12583,-3.12286,0.993088,0.991935,0.991935,0.993088,0.991935,0.995392,0.991935,1.14372,1.14666,1.14957,0.00279793,1.12582,1.12807,1.13145,1.14666,1.16672,1.16875,1.17328,2.62253,2.62253,2.61401,0.00431152,2.57159,2.58472,2.59,2.62253,2.63833,2.6443,2.6474,2.00913,1.90314,1.99026,0.0341923,1.59978,1.80895,1.88153,1.93532,2.08375,2.22786,2.37305,3.06822,3.02308,3.06095,0.0183635,2.84018,2.96606,3.00706,3.02425,3.12079,3.18069,3.25442,-9999,-9999
200408,10.574,1,8.543,1.658,1,12.128,2.868,1,10.785,9.347,1.422,11.89,2.391,10.574,1,8.543,1.658,1,12.128,2.868,1,440.742,237.867,1,199.419,237.867,1,307.993,1,303.043,307.993,1,321.926,1,312.377,321.926,1,4.078,1,3.635,4.078,1,60.457,60.457,0,2.513,2.926,1,1.881,2.41,0.997312,0.164675924,0.995295699,124.4990058,0.997983871,-9999,-9999,13.994,1,24.5,1,0,1,114.098,1,114.098,1.01109,15.0365,1,15.0365,0.233034,-9999,-9999,20.8065,27.1935,20.8065,27.1935,-1.06093,0.997312,0.0236546,0.0327695,-1.06355,0.997312,0.0236384,0.0327578,-1.04219,0.997463,0.00332771,-1.06899,-1.06504,-1.06093,-1.04449,-1.02761,-1.01968,-1.00562,0.997312,0.997312,0.997312,0.995968,0.998656,0.995296,0.999328,1.33872,0.449366,1,0.0277365,0.0383561,-2.82843,2.54717,0.995303,0.0341837,0.0385819,1.33333,0.450675,1,0.0276871,0.0383204,-2.82876,2.54665,0.995303,0.0341747,0.038574,1.30118,1.32756,1.3285,1.3356,1.36552,1.38054,1.44246,1,1,1,1,1,1,1,-2.83424,-2.83076,-2.82716,-2.81758,-2.81,-2.79498,-2.74845,0.995303,0.995303,0.995303,0.996455,0.998848,0.992822,0.992822,1.71681,1.70025,1.71313,0.00373863,1.67949,1.69206,1.6989,1.71179,1.72804,1.73097,1.7555,2.7638,2.7638,2.75533,0.00292603,2.72761,2.73596,2.7424,2.75227,2.76931,2.7786,2.7806,1.77698,1.8338,1.77879,0.0184937,1.55173,1.68244,1.73871,1.7672,1.83374,1.85745,1.92573,2.51582,2.54124,2.50175,0.0121995,2.36975,2.40857,2.45141,2.51239,2.54122,2.54973,2.60362,-9999,-9999
200409,8.795,1,6.085,2.232,1,11.212,3.535,1,7.944,6.349,1.619,9.367,2.781,8.795,1,6.085,2.232,1,11.212,3.535,1,389.123,246.484,1,204.751,246.484,1,268.723,1,277.044,268.723,1,291.839,1,285.93,291.839,1,5.279,1,3.663,5.279,1,60.631,60.631,0,1.931,0.967,1,2.015,2.312,0.997917,0.151752016,0.996527778,97.63829572,0.997222222,-9999,-9999,13.221,1,13.4,1,0,1,79.3694,0.999306,79.3694,0.797365,24.7041,0.999306,24.7041,0.348282,-9999,-9999,22.6,25.4,22.6,25.4,-0.371301,0.993056,0.0198156,0.0256746,-0.369327,0.993056,0.019807,0.0256679,-0.369021,0.989983,0.00258203,-0.389149,-0.387716,-0.380658,-0.370827,-0.363643,-0.355065,-0.3391,0.996528,0.996528,0.998611,0.990278,0.986806,0.980556,0.969444,1.16801,0.411092,1,0.0256351,0.0339151,-1.70272,1.57236,0.986872,0.0279625,0.0332356,1.17058,0.411004,1,0.0256053,0.0338926,-1.7016,1.57438,0.986872,0.0279639,0.0332368,1.11643,1.1236,1.12753,1.16132,1.16708,1.16801,1.17228,1,1,1,0.997101,1,1,1,-1.70537,-1.70316,-1.70149,-1.69615,-1.67762,-1.66723,-1.64184,0.981692,0.981692,0.993436,0.993436,0.997333,0.969641,0.944462,1.28786,1.30655,1.29034,0.00292013,1.26548,1.26983,1.27169,1.28786,1.30743,1.30947,1.31423,1.67588,1.67588,1.65941,0.00274402,1.63401,1.64951,1.65229,1.65942,1.66765,1.67516,1.68354,0.842401,0.732232,0.788075,0.0113512,0.712305,0.732346,0.735202,0.753305,0.84182,0.906266,0.927671,1.44407,1.37094,1.4109,0.00869941,1.33698,1.37056,1.37091,1.37374,1.43685,1.50088,1.51471,-9999,-9999
200410,2.35,1,0.127,2.125,1,4.664,3.227,1,0.751,-0.925,1.43,2.506,2.678,2.35,1,0.127,2.125,1,4.664,3.227,1,322.428,201.564,1,195.688,201.564,1,229.362,1,234.179,229.362,1,244.52,1,242.327,244.52,1,3.885,1,2.966,3.885,1,60.5,60.5,0,1.101,0.735,1,2.292,2.557,0.840054,0.166358234,0.987903226,53.15718092,0.997311828,-9999,-9999,6.763,1,10.6,1,0,1,29.6469,0.995968,29.6469,0.445644,32.4548,0.995968,32.4548,0.480277,-9999,-9999,24.4516,23.5484,24.4516,23.5484,0.103018,0.985887,0.0104038,0.0113347,0.103331,0.985887,0.0103925,0.0113244,0.105015,0.984291,0.000622325,0.0987677,0.100861,0.101316,0.104932,0.107973,0.109858,0.111159,0.991263,0.96371,0.991263,0.991263,0.978495,0.984543,0.985215,0.438922,0.172222,0.998656,0.0129312,0.0212178,-0.23694,0.575028,0.973252,0.0154054,0.027619,0.439448,0.173492,0.998656,0.0129134,0.021207,-0.236882,0.575039,0.973252,0.0153923,0.0276117,0.400909,0.423098,0.436589,0.442625,0.45087,0.456741,0.459049,0.965108,0.989624,0.989624,0.997366,0.998656,1,0.998656,-0.261679,-0.257927,-0.256747,-0.23694,-0.219847,-0.21208,-0.202471,0.982504,0.981159,0.982504,0.973252,0.969098,0.966517,0.963936,0.523594,0.518419,0.513397,0.00287502,0.474605,0.489078,0.51361,0.52056,0.523594,0.524641,0.526181,0.415088,0.415088,0.408358,0.00309337,0.367083,0.380932,0.403067,0.414656,0.421369,0.421698,0.425653,0.358242,0.321965,0.334438,0.00489647,0.299652,0.303333,0.308463,0.322714,0.346517,0.372809,0.394999,0.495881,0.447713,0.470927,0.00586064,0.425812,0.443735,0.445213,0.447396,0.486297,0.514793,0.543467,-9999,-9999
200411,-5.349,1,-7.53,3.062,1,-2.755,3.648,1,-3.963,-5.792,2.423,-1.758,3.407,-5.349,1,-7.53,3.062,1,-2.755,3.648,1,259.983,185.455,1,172.268,185.455,1,189.162,1,194.876,189.162,1,192.042,1,202.347,192.042,1,2.634,1,3.842,2.634,1,60.236,60.236,0,0.212,0.097,1,2.215,1.97,0.999306,0.130905696,0.998611111,10.636596,0.996527778,-9999,-9999,-0.216,1,7.9,1,0,1,7.33355,0.999306,7.33355,0.177689,27.7848,0.999306,27.7848,0.411032,-9999,-9999,26.2333,21.7667,26.2333,21.7667,0.140185,0.936111,0.00577292,0.00709947,0.139749,0.936806,0.00577558,0.00710163,0.141179,0.934358,0.000682462,0.135252,0.136482,0.13827,0.1404,0.143327,0.144747,0.148733,0.923611,0.941667,0.941667,0.941667,0.934722,0.933333,0.93125,0.221967,0.0877348,0.992308,0.00703589,0.00902285,0.0294225,0.249625,0.866005,0.00886515,0.0118596,0.221496,0.0874133,0.992308,0.00704174,0.00902741,0.0291522,0.249257,0.86752,0.00886623,0.0118604,0.213258,0.221332,0.225027,0.227009,0.230678,0.232629,0.233845,0.978538,0.991026,0.991026,0.988462,1,1,0.988462,0.0162043,0.0164145,0.0168586,0.0253822,0.031745,0.0321701,0.0331057,0.865933,0.865933,0.865933,0.86752,0.861315,0.861315,0.8598,0.23371,0.20684,0.215619,0.00321499,0.181727,0.192088,0.199496,0.207472,0.235287,0.236828,0.2384,0.0670911,0.0670911,0.0744231,0.00351216,0.0376623,0.0514902,0.0550099,0.0665113,0.0965215,0.0984354,0.100207,0.151385,0.14625,0.154431,0.00177455,0.142912,0.145489,0.146827,0.151415,0.157463,0.160265,0.18451,0.0982928,0.0746616,0.0871627,0.00182499,0.0750244,0.0759971,0.0763464,0.0836008,0.0944368,0.0982927,0.112347,-9999,-9999
