TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
201301,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.253,-0.453,0.926,0.112,0.659,-0.253,0.0,-0.453,0.926,0.0,0.112,0.659,0.0,80.2405,-9999,-9999,20.874,20.874,0.0,-9999,-9999,297.051,297.051,0.0,-9999,-9999,299.04,299.04,0.0,-9999,-9999,0.351,0.351,0.0,101.177,101.177,0.0,2.458,2.458,0.0,3.029,3.029,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,91.9715,0.0,108.311,-9999,14.782,0.0,17.4081,-9999,1.0,3,31.5161,16.4839,0.0,0.0,-0.693284,0.0,-9999,-9999,-0.693284,0.0,-9999,-9999,-0.844019,0.0,0.0368176,-1.23058,-1.15986,-1.15019,-0.693284,-0.693284,-0.693284,-0.617209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64826,2.63053,0.0,-9999,-9999,-5.09287,1.76755,0.0,-9999,-9999,1.64826,2.63053,0.0,-9999,-9999,-5.09287,1.76755,0.0,-9999,-9999,1.25083,1.26368,1.27184,1.64826,1.64826,1.64826,1.76017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.83516,-5.65198,-5.65198,-5.09287,-5.09287,-5.09287,-5.09287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45259,1.48824,1.39483,0.0256524,1.04553,1.17217,1.39843,1.43913,1.48824,1.494,1.50666,2.18153,2.18153,2.23885,0.0340499,2.02386,2.11212,2.12179,2.15307,2.28654,2.36745,2.65406,1.81237,1.81237,2.35376,0.125669,1.71435,1.81237,1.81237,1.81237,3.43733,3.51298,3.57519,0.475256,0.475256,0.626914,0.035106,0.446056,0.475256,0.475256,0.475256,0.925074,0.930714,0.986721,-9999,-9999
201302,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.021,-1.562,0.938,-0.269,0.849,-1.021,0.0,-1.562,0.938,0.0,-0.269,0.849,0.0,143.184,-9999,-9999,47.762,47.762,0.0,-9999,-9999,289.84,289.84,0.0,-9999,-9999,290.496,290.496,0.0,-9999,-9999,0.307,0.307,0.0,101.455,101.455,0.0,1.419,1.419,0.0,2.585,2.585,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,90.6384,0.0,135.467,-9999,14.8897,0.0,22.254,-9999,2.0,3,28.0,20.0,0.0,0.0,-0.676942,0.0,-9999,-9999,-0.676942,0.0,-9999,-9999,-0.828242,0.0,0.0369933,-1.21744,-1.14548,-1.13626,-0.676942,-0.676942,-0.676942,-0.601991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21669,2.07473,0.0,-9999,-9999,-4.66522,1.96219,0.0,-9999,-9999,2.21669,2.07473,0.0,-9999,-9999,-4.66522,1.96219,0.0,-9999,-9999,1.94107,1.94743,1.95668,2.21669,2.21669,2.21669,2.34072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.52718,-5.36979,-5.36979,-4.66522,-4.66522,-4.66522,-4.66522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3564,1.39442,1.29463,0.0268415,0.930592,1.05835,1.30089,1.34204,1.38866,1.39835,1.40831,2.07136,2.07136,2.12287,0.0348513,1.88844,1.99736,2.00315,2.04101,2.16811,2.24869,2.5485,1.78522,1.78522,2.31831,0.123754,1.68867,1.78522,1.78522,1.78522,3.38584,3.46035,3.52163,0.991832,0.991832,1.26081,0.0623079,0.941313,0.991832,0.991832,0.991832,1.79459,1.80308,1.8953,-9999,-9999
201303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.744,-2.741,1.108,-0.766,1.654,-1.744,0.0,-2.741,1.108,0.0,-0.766,1.654,0.0,241.508,-9999,-9999,112.924,112.924,0.0,-9999,-9999,267.473,267.473,0.0,-9999,-9999,263.991,263.991,0.0,-9999,-9999,1.077,1.077,0.0,101.275,101.275,0.0,0.936,0.936,0.0,3.1,3.1,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-15.9303,0.696909,91.6475,0.0,166.022,-9999,14.8721,0.0,26.9412,-9999,1.0,3,23.7742,24.2258,0.0,0.0,-0.699783,0.0,-9999,-9999,-0.699783,0.0,-9999,-9999,-0.846089,0.0,0.0359885,-1.22475,-1.15463,-1.14506,-0.699783,-0.699783,-0.699783,-0.622182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88464,1.18827,0.0,-9999,-9999,-4.16842,2.24896,0.0,-9999,-9999,2.88464,1.18827,0.0,-9999,-9999,-4.16842,2.24896,0.0,-9999,-9999,2.69194,2.70179,2.7129,2.88464,2.88464,2.88464,3.03634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.98419,-4.85941,-4.8568,-4.16842,-4.16842,-4.16842,-4.16842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294,1.33171,1.23346,0.0263355,0.878071,1.00122,1.23962,1.27977,1.32534,1.33408,1.34594,2.03149,2.03149,2.07955,0.0341039,1.85293,1.95817,1.96291,2.00138,2.12655,2.20071,2.49526,1.7508,1.7508,2.27345,0.121341,1.65612,1.7508,1.7508,1.7508,3.32056,3.39364,3.45374,1.95967,1.95967,2.36419,0.0937956,1.89518,1.95967,1.95967,1.95967,3.17846,3.18764,3.3127,-9999,-9999
201304,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.121,4.824,1.493,7.011,1.996,6.121,0.0,4.824,1.493,0.0,7.011,1.996,0.0,351.365,-9999,-9999,179.623,179.623,0.0,-9999,-9999,298.228,298.228,0.0,-9999,-9999,300.435,300.435,0.0,-9999,-9999,2.435,2.435,0.0,101.469,101.469,0.0,0.909,0.909,0.0,2.509,2.509,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-15.7153,0.0,91.4451,0.0,154.949,4.44464,14.8465,0.0,25.1566,3.55352,2.0,3,19.5,28.5,0.3,0.0666667,-0.690438,0.0,0.458922,0.514039,-0.690438,0.0,0.458922,0.514039,-0.839823,0.0,0.0365863,-1.22448,-1.15359,-1.14409,-0.690438,-0.690438,-0.690438,-0.614187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15589,0.70546,0.0,0.485257,0.485728,-3.29314,3.05844,0.0,1.07134,1.13179,3.15589,0.70546,0.0,0.485257,0.485728,-3.29314,3.05844,0.0,1.07134,1.13179,3.11194,3.1244,3.14071,3.15589,3.15589,3.16716,3.33762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.14406,-4.02296,-4.01619,-3.29314,-3.29314,-3.29314,-3.29314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13758,2.16315,2.09507,0.0220558,1.78813,1.92142,2.08565,2.12668,2.16261,2.18732,2.24386,2.85359,2.85359,2.93489,0.0311218,2.76009,2.8068,2.81567,2.8493,2.96008,3.0795,3.31059,2.0717,2.0717,2.69209,0.143908,1.95966,2.0717,2.0717,2.0717,3.92917,4.01565,4.08676,2.8147,2.8147,3.31918,0.117006,2.74781,2.8147,2.8147,2.8147,4.33895,4.34345,4.49981,-9999,-9999
201305,14.644,0.572581,12.887,1.668,0.582661,15.499,2.467,0.56754,12.65,11.251,1.343,13.341,1.998,13.117,0.572581,11.47,1.498,0.582661,13.918,2.307,0.56754,439.619,211.381,0.572581,208.32,202.161,0.572581,342.288,0.572581,335.212,335.846,0.572581,349.005,0.571237,344.259,343.477,0.571237,5.036,0.572581,3.514,3.758,0.572581,100.907,100.914,0.56586,2.765,2.765,0.0,2.236,2.196,0.565188,0.233520058035,0.516129032258,121.560699851,0.565188172043,329.399561292,0.548387096774,20.0325940527,0.548387096774,14.1043418121,0.565860215054,398.887713408,0.565860215054,389.595,0.572581,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.135,0.0,69.3434,0.571237,111.514,0.677901,16.6263,0.571909,26.7373,0.300204,3.0,3,15.5806,32.4194,15.5806,32.1613,-0.683246,0.56922,0.0464414,0.132017,-0.683246,0.56922,0.0464419,0.132018,-0.761195,0.567524,0.0193395,-0.974155,-0.922242,-0.91557,-0.681697,-0.681642,-0.675084,-0.643742,0.563172,0.563844,0.563844,0.56922,0.56922,0.56922,0.56922,2.74531,0.879708,0.582661,0.0669684,0.0851517,-2.30306,3.31078,0.5625,0.0579733,0.203743,2.74531,0.879708,0.582661,0.0669711,0.0851538,-2.30306,3.31078,0.5625,0.0579735,0.203743,2.71045,2.74527,2.74531,2.74582,2.84201,2.85046,2.86579,0.582661,0.582661,0.582661,0.582661,0.582661,0.582661,0.582661,-2.78885,-2.69023,-2.68881,-2.30088,-2.30079,-2.29959,-2.29603,0.553427,0.554435,0.554435,0.5625,0.5625,0.5625,0.5625,2.88723,2.87968,2.89271,0.00599586,2.82909,2.87234,2.87562,2.87826,2.89219,2.94706,2.97389,3.56138,3.56293,3.6539,0.0197891,3.5539,3.55766,3.55887,3.56289,3.78842,3.81662,3.86635,2.69585,2.69815,3.04341,0.078387,2.69399,2.69558,2.69585,2.70756,3.73893,3.77769,3.80701,3.58431,3.54048,3.81981,0.0642441,3.53347,3.53456,3.53474,3.54855,4.37881,4.38763,4.47936,-9999,-9999
201306,15.975,1.0,12.924,1.665,1.0,17.161,2.947,1.0,15.922,14.309,1.176,16.546,1.988,15.975,1.0,12.924,1.665,1.0,17.161,2.947,1.0,481.281,248.79,1.0,241.055,248.79,1.0,345.3,1.0,345.417,345.3,1.0,362.591,1.0,356.352,362.591,1.0,5.078,1.0,4.96,5.078,1.0,101.487,101.503,1.0,1.591,1.591,0.0,2.426,2.456,1.0,0.239361170843,0.865277777778,159.222299509,1.0,428.916770629,0.999305555556,30.9424447413,1.0,25.7144332561,1.0,408.701681944,1.0,405.083,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.01084,0.470139,83.7113,0.998611,107.613,0.905145,23.1787,1.0,29.7967,0.34115,1.0,2,13.3333,34.6667,13.3333,34.6667,0.0249989,0.972917,0.0595868,0.421252,0.0432036,0.974306,0.059769,0.421277,-0.0662339,0.968177,0.0564137,-0.562857,-0.551255,-0.518041,0.0432036,0.278123,0.282777,0.2977,0.950694,0.95,0.951389,0.974306,0.980556,0.980556,0.980556,4.36094,1.87492,0.973626,0.125193,0.847695,-1.66202,3.09495,0.972969,0.0632662,0.238295,4.37578,1.88351,0.973626,0.126072,0.847826,-1.64297,3.09955,0.97493,0.0633139,0.238307,3.00773,3.04479,3.11955,4.37578,4.70802,4.72159,4.74868,0.932234,0.932234,0.932234,0.973626,0.97619,0.97619,0.97619,-1.92296,-1.92013,-1.90417,-1.64297,-1.46128,-1.46064,-1.43588,0.957675,0.958627,0.962437,0.97493,0.982549,0.982549,0.984482,4.43354,4.79471,4.57462,0.063752,3.95975,4.04752,4.0683,4.79474,4.9257,4.95536,4.9761,4.75151,4.75151,4.64085,0.0146758,4.48481,4.52801,4.58119,4.6327,4.68736,4.75151,4.77182,4.4407,4.68149,4.15213,0.0842745,3.03997,3.61464,3.74072,4.39621,4.54105,4.60607,4.67873,4.60802,4.79047,4.49342,0.0452736,3.85493,4.23351,4.30172,4.60802,4.70011,4.74652,4.78829,-9999,-9999
201307,18.727,0.94086,15.043,1.613,0.952688,20.298,3.215,0.935484,18.804,17.076,1.073,19.535,2.0,18.693,0.94086,15.061,1.617,0.952688,20.241,3.241,0.935484,461.841,244.471,0.942204,243.182,249.921,0.942204,359.105,0.94086,356.109,357.51,0.94086,384.927,0.94086,369.021,382.858,0.94086,6.13,0.94086,5.904,6.306,0.94086,101.787,101.775,0.9375,1.424,1.424,0.0,2.036,2.014,0.932124,0.23907254196,0.548387096774,154.91359561,0.935483870968,443.444593761,0.935483870968,36.2404207459,0.935483870968,33.1414606731,0.935483870968,422.193323994,0.935483870968,413.933,0.797043,18.114,17.019,16.2,15.392,14.79,0.94086,0.94086,0.94086,0.94086,0.94086,-7.24873,0.94086,98.8249,0.796371,127.042,0.697302,29.4591,0.799731,37.8703,0.323858,0.763441,1,14.2903,33.7097,14.2903,33.7097,0.430835,0.790995,0.0516411,0.227597,0.437779,0.791667,0.0515693,0.227581,0.362361,0.786257,0.0306208,0.0621283,0.0850118,0.113952,0.446859,0.50254,0.528334,0.588412,0.773522,0.773522,0.771505,0.793683,0.793683,0.793683,0.794355,4.69678,1.17531,0.812903,0.0957675,0.448311,-1.39312,3.75245,0.781315,0.0580768,0.136057,4.70524,1.18101,0.812903,0.0957862,0.448315,-1.38709,3.76168,0.782237,0.0579509,0.136004,3.91538,3.99742,4.04676,4.70524,4.81515,4.87334,5.04041,0.785443,0.789744,0.783292,0.812903,0.812903,0.812903,0.812903,-1.592,-1.5793,-1.56566,-1.38517,-1.3432,-1.33323,-1.31926,0.766291,0.768246,0.768246,0.780423,0.785002,0.785002,0.785924,6.36589,6.29148,6.03345,0.0897766,5.00932,5.21228,5.25382,6.32214,6.38802,6.48944,6.57266,5.85495,5.8537,5.67109,0.0617919,4.92617,5.13987,5.16144,5.86675,5.91525,5.93774,5.98425,5.52102,5.46274,5.38898,0.035444,4.91449,5.06405,5.18526,5.48011,5.5398,5.57,5.605,4.90524,4.88389,4.92589,0.0129621,4.74729,4.87313,4.88584,4.92389,4.94844,4.97303,5.05136,-9999,-9999
