TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
201301,7.28,1.0,6.528,1.37,1.0,8.368,1.855,1.0,7.343,6.709,1.24,8.266,1.357,7.28,1.0,6.528,1.37,1.0,8.368,1.855,1.0,151.589,52.477,0.984543,53.821,52.24,0.984543,315.61,1.0,316.167,315.61,1.0,311.425,0.983871,331.78,311.437,0.983871,1.474,0.999328,2.025,1.475,0.999328,100.91,100.91,0.0,3.715,6.308,0.998656,1.163,1.313,0.958333,0.276020450563,0.739247311828,13.2158944374,0.998655913978,96.3234285094,0.978494623656,59.2476506601,0.998655913978,8.49253975512,0.998655913978,346.791776794,0.998655913978,337.343,0.981855,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,9.5665,0.981183,16.0974,0.367743,-14.4611,0.981183,-24.3334,0.606438,1.0,3,28.4516,19.5484,28.4516,19.5484,-1.04638,0.971102,0.101952,0.127613,-1.04795,0.969758,0.099484,0.12565,-1.11669,0.970329,0.0125993,-1.27565,-1.18694,-1.16663,-1.11625,-1.04638,-1.03343,-1.00099,0.954301,0.967742,0.977823,0.976478,0.971102,0.976478,0.975806,1.46543,2.01717,1.0,0.123764,0.147801,-4.59175,5.6637,0.929796,0.160461,0.203548,1.49585,2.00787,1.0,0.121206,0.145666,-4.6393,5.66831,0.92657,0.155858,0.199939,1.29475,1.34741,1.36796,1.39991,1.46531,1.50899,1.5327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-4.92515,-4.81152,-4.75827,-4.65799,-4.60377,-4.56105,-4.54509,0.874448,0.921732,0.916638,0.92657,0.941596,0.933192,0.941596,1.55056,1.55662,1.57416,0.0164482,1.42862,1.45837,1.49567,1.55056,1.63956,1.67072,1.73967,2.57373,2.60457,2.69085,0.0192203,2.54617,2.5804,2.60674,2.63659,2.763,2.78697,2.95387,2.88157,2.89747,2.69153,0.0938914,1.65956,2.12163,2.28206,2.62317,2.96098,3.31389,3.51408,3.21122,3.49396,3.38768,0.0312974,3.04878,3.19675,3.24593,3.36791,3.46964,3.60645,3.67518,-9999,0.0
201302,5.944,1.0,4.717,1.832,1.0,7.46,2.241,1.0,6.456,5.374,1.354,7.799,1.712,5.944,1.0,4.717,1.832,1.0,7.46,2.241,1.0,214.276,96.583,1.0,94.678,96.583,1.0,291.805,1.0,301.592,291.805,1.0,292.792,1.0,313.737,292.792,1.0,2.317,1.0,2.483,2.317,1.0,100.762,100.762,0.0,3.423,3.643,1.0,1.484,1.535,0.999256,0.290844906054,0.715773809524,33.9069388318,1.0,185.590374252,1.0,83.866024436,1.0,14.9128619711,1.0,339.609546875,1.0,357.115,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,21.6369,0.999256,36.4081,0.450677,-1.30847,1.0,-2.20175,0.738771,1.0,3,26.6071,21.3929,26.6071,21.3929,-1.67315,0.99256,0.0811275,0.0967891,-1.67258,0.99256,0.0810744,0.0967445,-1.72025,0.9883,0.0122312,-1.83144,-1.771,-1.75698,-1.70184,-1.67671,-1.66542,-1.64661,0.959077,0.998512,0.99628,0.975446,0.99256,0.986607,0.99256,2.26258,1.19577,1.0,0.0870192,0.126885,-6.43236,5.77438,0.982483,0.138042,0.167185,2.26564,1.19129,1.0,0.0865769,0.126582,-6.43485,5.77272,0.982483,0.138326,0.16742,1.97494,2.12431,2.13726,2.26349,2.29732,2.30899,2.35441,1.0,1.0,0.974857,1.0,0.992063,0.9803,0.992063,-6.62751,-6.5933,-6.58405,-6.46652,-6.42271,-6.40467,-6.37122,0.964951,0.950186,0.968275,0.996599,0.985969,0.991241,0.985969,2.52008,2.52304,2.51093,0.0295057,2.23119,2.31005,2.33426,2.49872,2.66098,2.70978,2.81175,4.17714,4.19562,4.23119,0.0307527,4.00015,4.03086,4.06305,4.17714,4.3692,4.4413,4.59468,1.82986,1.81619,1.80941,0.0474251,1.30183,1.56549,1.62208,1.80499,1.9634,2.0846,2.38644,4.50856,4.54232,4.34299,0.0338111,3.8966,4.13362,4.19021,4.35863,4.50856,4.53837,4.67186,-9999,0.0
201303,9.769,1.0,8.746,1.442,1.0,10.758,1.845,1.0,9.895,8.748,1.267,11.0,1.831,9.769,1.0,8.746,1.442,1.0,10.758,1.845,1.0,302.647,101.026,1.0,118.907,101.026,1.0,327.785,1.0,326.318,327.785,1.0,330.377,1.0,344.345,330.377,1.0,2.03,1.0,2.578,2.03,1.0,100.388,100.397,0.430108,6.471,7.702,1.0,1.535,1.645,0.760753,0.355072061425,0.547043010753,55.8724032865,1.0,190.955984251,0.74126344086,122.535273471,0.741935483871,12.5261203855,1.0,360.265074597,1.0,372.81,0.975806,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.153856,0.147849,19.9693,0.950941,33.7985,0.389768,-6.20463,0.952285,-10.5015,0.860135,2.0,3,23.4839,24.5161,23.4839,24.1613,-1.15554,0.952285,0.0848004,0.089651,-1.16427,0.952285,0.0862488,0.0910222,-1.15948,0.948471,0.00618284,-1.20742,-1.1909,-1.18596,-1.17338,-1.13888,-1.13272,-1.09126,0.945565,0.952957,0.949597,0.952285,0.952285,0.948253,0.947581,3.1275,1.20277,0.987903,0.100905,0.133035,-5.20014,6.25221,0.916877,0.127531,0.137534,3.13083,1.19748,0.987903,0.101214,0.133269,-5.21946,6.23681,0.916877,0.131088,0.140838,3.00653,3.03289,3.04398,3.1068,3.20231,3.20629,3.28756,0.975806,0.975806,0.975806,0.983871,0.983871,0.983871,0.983871,-5.30733,-5.2694,-5.23435,-5.20014,-5.17342,-5.16642,-5.14911,0.911501,0.911501,0.915533,0.916877,0.915533,0.915533,0.906066,3.37776,3.38114,3.37116,0.0202379,3.17963,3.23148,3.26841,3.34959,3.46731,3.52063,3.60924,4.51835,4.54541,4.53064,0.0165676,4.34219,4.41815,4.4554,4.51835,4.58244,4.64052,4.71049,4.24815,4.32421,4.29211,0.0404527,3.79973,3.94642,4.19862,4.31322,4.41715,4.52633,4.64634,5.17125,5.106,5.13256,0.0196151,4.90255,5.0017,5.03594,5.14308,5.20342,5.29112,5.33083,-9999,0.0
201304,14.149,1.0,12.773,1.449,1.0,15.164,2.126,1.0,14.851,13.037,1.423,16.193,2.459,14.149,1.0,12.773,1.449,1.0,15.164,2.126,1.0,392.148,183.639,0.952778,211.696,195.347,0.952778,339.764,1.0,337.601,339.764,1.0,354.126,0.952778,358.312,353.033,0.952778,3.581,1.0,4.1,3.581,1.0,101.138,101.189,1.0,2.332,4.107,1.0,1.288,1.347,0.732639,0.340164867483,0.515972222222,124.62693077,1.0,387.722148341,0.915972222222,169.58029795,0.999305555556,21.5189779269,0.999305555556,383.912021897,0.999305555556,388.112,0.940972,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.540667,0.0,47.4218,0.934722,75.0876,0.657726,26.6111,0.938194,42.1359,0.980226,3.0,3,20.4667,27.5333,20.4667,27.5333,-2.40452,0.892361,0.0979331,0.136965,-2.41893,0.8875,0.0980228,0.137029,-2.43945,0.886719,0.013458,-2.58537,-2.53951,-2.50338,-2.44805,-2.3588,-2.34801,-2.31796,0.864583,0.860417,0.863889,0.8875,0.904167,0.905556,0.904167,4.10897,1.30283,0.982878,0.139483,0.201738,-7.0946,7.02158,0.823681,0.127742,0.174486,4.12989,1.25715,0.982878,0.137257,0.200205,-7.13273,7.07235,0.815594,0.129259,0.1756,3.71072,3.80794,3.85505,3.96928,4.06352,4.09944,4.14829,0.926562,0.949357,0.952849,0.996825,0.952849,0.982878,0.982878,-7.17677,-7.13874,-7.11613,-7.09186,-6.90888,-6.90103,-6.89355,0.810698,0.81436,0.828361,0.823681,0.834358,0.836698,0.834399,4.94961,5.13834,4.8869,0.0246603,4.68324,4.70862,4.74806,4.89256,4.96168,5.00497,5.16754,7.51598,7.55726,7.32636,0.0302135,7.03201,7.11719,7.16888,7.31537,7.49716,7.51598,7.6575,5.12004,4.10812,4.47146,0.0943545,3.53589,3.67993,3.71749,4.67463,4.79601,5.07145,5.23115,6.76735,6.91444,7.10366,0.0543789,6.56634,6.65654,6.70883,7.17205,7.37962,7.43032,7.54015,5.5412,0.744444
201305,16.017,1.0,14.673,1.238,1.0,16.819,1.764,1.0,16.482,14.86,1.119,17.458,1.899,16.017,1.0,14.673,1.238,1.0,16.819,1.764,1.0,457.593,240.538,0.99664,238.534,240.667,0.99664,344.978,1.0,347.208,344.978,1.0,368.956,0.99664,370.205,368.986,0.99664,3.868,1.0,3.855,3.868,1.0,100.846,100.891,1.0,5.234,2.678,1.0,1.427,1.735,0.823925,-9999,-9999,163.995374504,1.0,494.809233356,0.802419354839,217.100081821,0.806451612903,26.2492502184,1.0,395.154235887,1.0,373.96,0.99664,16.539,16.308,16.125,15.772,15.303,14.226,1.0,1.0,1.0,1.0,1.0,1.0,17.856,-9999,8.522,-9999,1.0,-9999,1.0,-9999,0.769776,0.116263,58.4093,0.975134,69.6424,0.640547,58.3259,0.977151,69.5429,0.978584,1.0,2,17.9355,30.0645,17.9355,30.0645,-2.06062,0.881048,0.110598,0.225673,-2.06345,0.881048,0.11055,0.22565,-2.08904,0.894237,0.0259945,-2.41442,-2.3275,-2.20787,-2.04467,-1.96384,-1.93407,-1.90129,0.938844,0.941532,0.915323,0.909946,0.877016,0.866935,0.872984,7.13776,1.66342,0.879157,0.183409,0.46142,-7.41323,8.88351,0.88184,0.130314,0.147326,7.13832,1.664,0.879157,0.183544,0.461473,-7.41809,8.88925,0.88184,0.130151,0.147181,6.37288,6.54495,6.78419,7.1668,7.29313,7.39176,7.443,0.990512,0.990512,0.941376,0.877459,0.877459,0.871966,0.875762,-7.50857,-7.4948,-7.4497,-7.41323,-7.36646,-7.35736,-7.34737,0.914242,0.905917,0.904805,0.88184,0.870394,0.853673,0.867272,7.85712,7.85619,7.6451,0.068045,6.85971,7.00284,7.34342,7.84326,7.92098,8.02991,8.14134,9.90011,9.91964,9.73414,0.0442299,9.27153,9.31949,9.39901,9.85984,9.91592,9.9486,10.0638,6.78178,6.51739,6.82962,0.0754377,6.23297,6.41547,6.45328,6.68116,7.00416,7.21307,7.9126,9.7648,9.76195,9.78952,0.0265013,9.54148,9.63591,9.67359,9.76112,9.85125,9.92453,10.1511,6.05831,1.0
201306,19.708,1.0,17.84,1.512,1.0,20.732,2.22,1.0,20.191,18.068,1.483,21.355,2.367,19.708,1.0,17.84,1.512,1.0,20.732,2.22,1.0,486.173,306.469,0.995139,277.834,306.144,0.995139,354.306,1.0,359.64,354.306,1.0,388.219,0.995139,385.594,388.214,0.995139,5.687,1.0,5.271,5.687,1.0,101.347,101.332,1.0,4.471,0.606,1.0,1.016,1.445,0.907639,0.358181408755,0.577777777778,211.907073942,1.0,660.410873978,0.893055555556,196.723652021,0.9,32.3559740132,1.0,416.676002083,1.0,378.729,0.995139,20.466,20.064,19.572,18.992,18.078,16.161,1.0,1.0,1.0,1.0,1.0,1.0,12.979,-9999,7.117,-9999,0.995139,-9999,0.995139,-9999,4.83771,1.0,79.3247,0.990972,94.5802,1.08283,89.4028,0.990972,106.596,1.35198,0.906944,1,17.0,31.0,17.0,30.9333,-2.14728,0.964583,0.114411,0.169147,-2.20015,0.963889,0.114098,0.168936,-2.10259,0.961979,0.0192766,-2.29944,-2.2317,-2.19727,-2.12045,-2.05074,-1.98253,-1.86959,0.934722,0.963194,0.965278,0.984028,0.984028,0.982639,0.942361,9.02276,1.48453,0.984314,0.163438,0.417881,-8.15192,9.07593,0.953763,0.145325,0.250955,8.89528,1.55325,0.984314,0.162709,0.417597,-8.16089,9.0659,0.952688,0.145024,0.250781,8.24182,8.68721,8.82464,8.97451,9.10112,9.4564,9.72181,1.0,0.996078,0.94902,0.94902,0.964706,0.980392,0.976471,-8.36757,-8.2703,-8.21556,-8.14449,-7.89484,-7.86111,-7.72114,0.92043,0.926882,0.934409,0.941935,0.974194,0.966667,0.975269,9.58922,9.59856,9.59883,0.0544617,8.76799,9.34144,9.42163,9.59292,9.71351,9.94744,10.0982,11.6533,11.7987,11.7014,0.0474826,10.8725,11.4827,11.5492,11.7449,11.8452,12.002,12.0894,6.45094,6.14803,6.29447,0.124414,5.19393,5.32174,5.54783,6.18659,7.04283,7.1796,7.37471,10.0929,10.042,9.94321,0.0520294,9.53566,9.55084,9.62877,9.84867,10.1318,10.2835,10.5447,7.56559,1.0
